iter	Passed	Remaining
0	143	143060
1	143	71814
2	144	48135
3	145	36252
4	146	29111
5	146	24336
6	147	20934
7	148	18379
8	148	16389
9	149	14823
10	151	13627
11	152	12545
12	153	11618
13	153	10836
14	154	10149
15	155	9543
16	155	9010
17	157	8592
18	158	8168
19	158	7788
20	159	7442
21	160	7131
22	161	6843
23	161	6579
24	162	6352
25	163	6138
26	164	5942
27	165	5748
28	166	5565
29	166	5395
30	167	5244
31	168	5097
32	169	4959
33	169	4827
34	170	4704
35	171	4585
36	171	4471
37	172	4367
38	173	4271
39	174	4181
40	174	4092
41	175	4008
42	177	3953
43	178	3877
44	179	3802
45	179	3729
46	180	3659
47	181	3592
48	181	3529
49	182	3468
50	183	3409
51	184	3354
52	185	3306
53	185	3257
54	186	3210
55	187	3164
56	188	3119
57	189	3077
58	190	3036
59	194	3039
60	195	3003
61	195	2962
62	196	2922
63	197	2883
64	197	2845
65	198	2807
66	199	2772
67	199	2737
68	200	2703
69	200	2670
70	201	2638
71	202	2611
72	203	2582
73	204	2553
74	204	2524
75	205	2496
76	206	2470
77	207	2448
78	207	2424
79	208	2399
80	209	2374
81	209	2350
82	210	2323
83	210	2299
84	211	2277
85	212	2254
86	212	2233
87	213	2211
88	213	2190
89	214	2169
90	215	2149
91	215	2130
92	216	2111
93	217	2092
94	217	2073
95	218	2055
96	218	2037
97	219	2020
98	220	2002
99	220	1988
100	222	1976
101	222	1961
102	223	1945
103	224	1930
104	224	1915
105	225	1899
106	225	1885
107	226	1871
108	227	1857
109	227	1843
110	228	1829
111	229	1816
112	229	1802
113	230	1789
114	230	1777
115	231	1765
116	232	1752
117	232	1740
118	233	1728
119	234	1716
120	234	1704
121	235	1692
122	236	1687
123	237	1677
124	238	1667
125	239	1658
126	239	1648
127	240	1638
128	241	1628
129	241	1618
130	242	1608
131	243	1598
132	243	1588
133	244	1578
134	244	1569
135	245	1559
136	246	1550
137	246	1542
138	247	1533
139	248	1525
140	249	1517
141	249	1507
142	250	1498
143	251	1495
144	252	1488
145	253	1480
146	253	1472
147	254	1465
148	255	1457
149	255	1449
150	256	1442
151	257	1434
152	257	1427
153	258	1419
154	259	1412
155	259	1405
156	260	1398
157	261	1391
158	261	1384
159	262	1377
160	262	1369
161	263	1362
162	263	1355
163	264	1348
164	265	1342
165	267	1343
166	268	1337
167	268	1330
168	269	1324
169	270	1318
170	270	1312
171	271	1306
172	272	1300
173	272	1294
174	273	1288
175	273	1282
176	274	1276
177	275	1270
178	275	1265
179	276	1259
180	277	1253
181	277	1248
182	278	1242
183	278	1237
184	279	1231
185	280	1226
186	281	1224
187	282	1220
188	283	1215
189	283	1209
190	284	1205
191	285	1199
192	285	1194
193	286	1189
194	287	1184
195	287	1180
196	288	1175
197	288	1170
198	289	1165
199	290	1161
200	290	1156
201	291	1151
202	292	1147
203	292	1142
204	293	1138
205	294	1133
206	294	1129
207	295	1124
208	296	1121
209	297	1117
210	297	1113
211	298	1109
212	299	1105
213	299	1101
214	300	1097
215	301	1093
216	301	1089
217	302	1084
